year,spec,estimator,L,delta,panel
2055,Interactive,AFE,0,-0.07554029897306913,L = 0
2056,Interactive,AFE,0,-0.07951262904260692,L = 0
2057,Interactive,AFE,0,-0.08451044321449319,L = 0
2058,Interactive,AFE,0,-0.08965221421707925,L = 0
2059,Interactive,AFE,0,-0.09493487473083151,L = 0
2060,Interactive,AFE,0,-0.10035512756853582,L = 0
2061,Interactive,AFE,0,-0.10407693753617786,L = 0
2062,Interactive,AFE,0,-0.10948573428943797,L = 0
2063,Interactive,AFE,0,-0.11500028169055898,L = 0
2064,Interactive,AFE,0,-0.12061598133652796,L = 0
2065,Interactive,AFE,0,-0.12632807844007377,L = 0
2066,Interactive,AFE,0,-0.1296555104488747,L = 0
2067,Interactive,AFE,0,-0.1352660357248031,L = 0
2068,Interactive,AFE,0,-0.1409407995101376,L = 0
2069,Interactive,AFE,0,-0.14667428525972903,L = 0
2070,Interactive,AFE,0,-0.15246089867630397,L = 0
2071,Interactive,AFE,0,-0.15512380069780873,L = 0
2072,Interactive,AFE,0,-0.16073587859089733,L = 0
2073,Interactive,AFE,0,-0.1663715452009018,L = 0
2074,Interactive,AFE,0,-0.1720249619732972,L = 0
2075,Interactive,AFE,0,-0.17769028359158623,L = 0
2076,Interactive,AFE,0,-0.17940467170816365,L = 0
2077,Interactive,AFE,0,-0.18483698646397106,L = 0
2078,Interactive,AFE,0,-0.1902555684018291,L = 0
2079,Interactive,AFE,0,-0.19565468965734079,L = 0
2080,Interactive,AFE,0,-0.20102866711078082,L = 0
2081,Interactive,AFE,0,-0.20156082735723768,L = 0
2082,Interactive,AFE,0,-0.20662047111626425,L = 0
2083,Interactive,AFE,0,-0.21163141757053117,L = 0
2084,Interactive,AFE,0,-0.21658826653427543,L = 0
2085,Interactive,AFE,0,-0.2214856906103827,L = 0
2086,Interactive,AFE,0,-0.22083422567473177,L = 0
2087,Interactive,AFE,0,-0.22536821325499712,L = 0
2088,Interactive,AFE,0,-0.22982253683127307,L = 0
2089,Interactive,AFE,0,-0.2341922189434974,L = 0
2090,Interactive,AFE,0,-0.23847235914436948,L = 0
2091,Interactive,AFE,0,-0.2365278254792733,L = 0
2092,Interactive,AFE,0,-0.24040719599090932,L = 0
2093,Interactive,AFE,0,-0.24417990812795465,L = 0
2094,Interactive,AFE,0,-0.24784139577402708,L = 0
2095,Interactive,AFE,0,-0.25138715412069246,L = 0
2096,Interactive,AFE,0,-0.2479648179752485,L = 0
2097,Interactive,AFE,0,-0.25102177649082624,L = 0
2098,Interactive,AFE,0,-0.25394685406953144,L = 0
2099,Interactive,AFE,0,-0.25673579668279933,L = 0
2100,Interactive,AFE,0,-0.25938437611420784,L = 0
2021,Interactive,AFE,1,-3.0875785312911574e-5,L = 1
2022,Interactive,AFE,1,-9.095696676841847e-5,L = 1
2023,Interactive,AFE,1,-1.8631551069925312e-4,L = 1
2024,Interactive,AFE,1,-3.230025653311319e-4,L = 1
2025,Interactive,AFE,1,-5.070399965672046e-4,L = 1
2026,Interactive,AFE,1,-7.903329686240745e-4,L = 1
2027,Interactive,AFE,1,-0.001102246778650784,L = 1
2028,Interactive,AFE,1,-0.0014818507526286329,L = 1
2029,Interactive,AFE,1,-0.0019351191403689239,L = 1
2030,Interactive,AFE,1,-0.0024679677537415845,L = 1
2031,Interactive,AFE,1,-0.0031764443528591313,L = 1
2032,Interactive,AFE,1,-0.003898864205918895,L = 1
2033,Interactive,AFE,1,-0.004718436931263059,L = 1
2034,Interactive,AFE,1,-0.005640730732179855,L = 1
2035,Interactive,AFE,1,-0.006671235939673448,L = 1
2036,Interactive,AFE,1,-0.007947857531343638,L = 1
2037,Interactive,AFE,1,-0.009216599025537286,L = 1
2038,Interactive,AFE,1,-0.010607483530951867,L = 1
2039,Interactive,AFE,1,-0.012125403862674689,L = 1
2040,Interactive,AFE,1,-0.013775148085708566,L = 1
2041,Interactive,AFE,1,-0.015671133930634795,L = 1
2042,Interactive,AFE,1,-0.017582201238796724,L = 1
2043,Interactive,AFE,1,-0.01963361948394793,L = 1
2044,Interactive,AFE,1,-0.021829310107796873,L = 1
2045,Interactive,AFE,1,-0.024173060205327834,L = 1
2046,Interactive,AFE,1,-0.026642423127710146,L = 1
2047,Interactive,AFE,1,-0.029249147400063902,L = 1
2048,Interactive,AFE,1,-0.032007344768257395,L = 1
2049,Interactive,AFE,1,-0.03491983851150704,L = 1
2050,Interactive,AFE,1,-0.037989295158588066,L = 1
2051,Interactive,AFE,1,-0.04088877498900001,L = 1
2052,Interactive,AFE,1,-0.044184813916362975,L = 1
2053,Interactive,AFE,1,-0.047633943808045864,L = 1
2054,Interactive,AFE,1,-0.051237691854134515,L = 1
2055,Interactive,AFE,1,-0.05499741528127533,L = 1
2056,Interactive,AFE,1,-0.058165743479520415,L = 1
2057,Interactive,AFE,1,-0.06209902559527225,L = 1
2058,Interactive,AFE,1,-0.06617808860124241,L = 1
2059,Interactive,AFE,1,-0.07040309176205894,L = 1
2060,Interactive,AFE,1,-0.07477402348718509,L = 1
2061,Interactive,AFE,1,-0.07799958721909395,L = 1
2062,Interactive,AFE,1,-0.08246655011343884,L = 1
2063,Interactive,AFE,1,-0.08706321312280707,L = 1
2064,Interactive,AFE,1,-0.0917884430121716,L = 1
2065,Interactive,AFE,1,-0.09664095330502331,L = 1
2066,Interactive,AFE,1,-0.09985434636960977,L = 1
2067,Interactive,AFE,1,-0.10475311485775896,L = 1
2068,Interactive,AFE,1,-0.10976121176075015,L = 1
2069,Interactive,AFE,1,-0.11487648007502271,L = 1
2070,Interactive,AFE,1,-0.1200966398666452,L = 1
2071,Interactive,AFE,1,-0.12312022780071408,L = 1
2072,Interactive,AFE,1,-0.12834210259015877,L = 1
2073,Interactive,AFE,1,-0.13365092997146488,L = 1
2074,Interactive,AFE,1,-0.13904385609029646,L = 1
2075,Interactive,AFE,1,-0.14451794204352975,L = 1
2076,Interactive,AFE,1,-0.14714313890851427,L = 1
2077,Interactive,AFE,1,-0.15258097124288017,L = 1
2078,Interactive,AFE,1,-0.1580832432658268,L = 1
2079,Interactive,AFE,1,-0.1636467116632332,L = 1
2080,Interactive,AFE,1,-0.1692680868822547,L = 1
2081,Interactive,AFE,1,-0.17131377150565952,L = 1
2082,Interactive,AFE,1,-0.17684153834311112,L = 1
2083,Interactive,AFE,1,-0.18241087923935417,L = 1
2084,Interactive,AFE,1,-0.1880184032489166,L = 1
2085,Interactive,AFE,1,-0.19366070928951373,L = 1
2086,Interactive,AFE,1,-0.1951134157205291,L = 1
2087,Interactive,AFE,1,-0.20062422235733113,L = 1
2088,Interactive,AFE,1,-0.20615514649432298,L = 1
2089,Interactive,AFE,1,-0.21170286115340775,L = 1
2090,Interactive,AFE,1,-0.21726405952256234,L = 1
2091,Interactive,AFE,1,-0.2180211919953119,L = 1
2092,Interactive,AFE,1,-0.22342134296230443,L = 1
2093,Interactive,AFE,1,-0.2288223806169538,L = 1
2094,Interactive,AFE,1,-0.2342212057123666,L = 1
2095,Interactive,AFE,1,-0.23961476256891012,L = 1
2096,Interactive,AFE,1,-0.2395278020898124,L = 1
2097,Interactive,AFE,1,-0.2446925474921502,L = 1
2098,Interactive,AFE,1,-0.24984037133489645,L = 1
2099,Interactive,AFE,1,-0.25496854741644126,L = 1
2100,Interactive,AFE,1,-0.2600744095258496,L = 1
2021,Interactive,AFE,2,-2.283323351759403e-5,L = 2
2022,Interactive,AFE,2,-1.0879560608723082e-4,L = 2
2023,Interactive,AFE,2,-2.2702425935772208e-4,L = 2
2024,Interactive,AFE,2,-3.8136239024577634e-4,L = 2
2025,Interactive,AFE,2,-5.756647116520464e-4,L = 2
2026,Interactive,AFE,2,-8.559972965639373e-4,L = 2
2027,Interactive,AFE,2,-0.0011546691680186516,L = 2
2028,Interactive,AFE,2,-0.0015064751132123355,L = 2
2029,Interactive,AFE,2,-0.0019152187563192813,L = 2
2030,Interactive,AFE,2,-0.002384684282001226,L = 2
2031,Interactive,AFE,2,-0.002999565287811201,L = 2
2032,Interactive,AFE,2,-0.0036119959214248043,L = 2
2033,Interactive,AFE,2,-0.004296018480253405,L = 2
2034,Interactive,AFE,2,-0.005055151447414863,L = 2
2035,Interactive,AFE,2,-0.0058928795178391224,L = 2
2036,Interactive,AFE,2,-0.006930743969047137,L = 2
2037,Interactive,AFE,2,-0.007940750795684126,L = 2
2038,Interactive,AFE,2,-0.009037750353850793,L = 2
2039,Interactive,AFE,2,-0.010224851291842363,L = 2
2040,Interactive,AFE,2,-0.011505117408748822,L = 2
2041,Interactive,AFE,2,-0.012991365012482659,L = 2
2042,Interactive,AFE,2,-0.01445863177281359,L = 2
2043,Interactive,AFE,2,-0.016024632105669956,L = 2
2044,Interactive,AFE,2,-0.01769198442891695,L = 2
2045,Interactive,AFE,2,-0.01946325307159469,L = 2
2046,Interactive,AFE,2,-0.02136314263724337,L = 2
2047,Interactive,AFE,2,-0.023322120037516658,L = 2
2048,Interactive,AFE,2,-0.02538771231516912,L = 2
2049,Interactive,AFE,2,-0.027562019097949975,L = 2
2050,Interactive,AFE,2,-0.0298470802166253,L = 2
2051,Interactive,AFE,2,-0.03207492659455602,L = 2
2052,Interactive,AFE,2,-0.034529304863922694,L = 2
2053,Interactive,AFE,2,-0.03709346877940789,L = 2
2054,Interactive,AFE,2,-0.039768916839355795,L = 2
2055,Interactive,AFE,2,-0.042557082108183875,L = 2
2056,Interactive,AFE,2,-0.04502624312289283,L = 2
2057,Interactive,AFE,2,-0.04795829273850771,L = 2
2058,Interactive,AFE,2,-0.05099890540967389,L = 2
2059,Interactive,AFE,2,-0.054148913125588116,L = 2
2060,Interactive,AFE,2,-0.05740907704066556,L = 2
2061,Interactive,AFE,2,-0.060008756253625006,L = 2
2062,Interactive,AFE,2,-0.06337384263459567,L = 2
2063,Interactive,AFE,2,-0.06684164317604546,L = 2
2064,Interactive,AFE,2,-0.07041230961342515,L = 2
2065,Interactive,AFE,2,-0.074085922749899,L = 2
2066,Interactive,AFE,2,-0.07680231666397963,L = 2
2067,Interactive,AFE,2,-0.08056194280303419,L = 2
2068,Interactive,AFE,2,-0.0844163184484833,L = 2
2069,Interactive,AFE,2,-0.08836501120529883,L = 2
2070,Interactive,AFE,2,-0.09240752236745509,L = 2
2071,Interactive,AFE,2,-0.09515579526080953,L = 2
2072,Interactive,AFE,2,-0.0992667516569622,L = 2
2073,Interactive,AFE,2,-0.10346321858205565,L = 2
2074,Interactive,AFE,2,-0.10774430101469223,L = 2
2075,Interactive,AFE,2,-0.11210904589929693,L = 2
2076,Interactive,AFE,2,-0.11478650947620928,L = 2
2077,Interactive,AFE,2,-0.11920603320528878,L = 2
2078,Interactive,AFE,2,-0.12370127184377888,L = 2
2079,Interactive,AFE,2,-0.12827097332670767,L = 2
2080,Interactive,AFE,2,-0.1329138371104166,L = 2
2081,Interactive,AFE,2,-0.13542066896188798,L = 2
2082,Interactive,AFE,2,-0.14008551459205798,L = 2
2083,Interactive,AFE,2,-0.14481509707643414,L = 2
2084,Interactive,AFE,2,-0.14960789962666743,L = 2
2085,Interactive,AFE,2,-0.15446236746911857,L = 2
2086,Interactive,AFE,2,-0.15680608678332875,L = 2
2087,Interactive,AFE,2,-0.16166189032915956,L = 2
2088,Interactive,AFE,2,-0.16657127596186516,L = 2
2089,Interactive,AFE,2,-0.17153255314982807,L = 2
2090,Interactive,AFE,2,-0.1765440035286654,L = 2
2091,Interactive,AFE,2,-0.1786671249779731,L = 2
2092,Interactive,AFE,2,-0.18366525731586136,L = 2
2093,Interactive,AFE,2,-0.18870618014996365,L = 2
2094,Interactive,AFE,2,-0.19378810948408753,L = 2
2095,Interactive,AFE,2,-0.19890924274941046,L = 2
2096,Interactive,AFE,2,-0.20069146877983057,L = 2
2097,Interactive,AFE,2,-0.20575488059659042,L = 2
2098,Interactive,AFE,2,-0.21084978941708488,L = 2
2099,Interactive,AFE,2,-0.21597439083408554,L = 2
2100,Interactive,AFE,2,-0.22112687046902446,L = 2
2021,Interactive,IFE,0,-7.469157774575574e-5,L = 0
2022,Interactive,IFE,0,-2.3033108799375146e-4,L = 0
2023,Interactive,IFE,0,-4.731004818310236e-4,L = 0
2024,Interactive,IFE,0,-8.090973811082369e-4,L = 0
2025,Interactive,IFE,0,-0.0012443246421254273,L = 0
2026,Interactive,IFE,0,-0.0018339456356137873,L = 0
2027,Interactive,IFE,0,-0.0025035060721474434,L = 0
2028,Interactive,IFE,0,-0.0032930993951424403,L = 0
2029,Interactive,IFE,0,-0.0042084708403600235,L = 0
2030,Interactive,IFE,0,-0.005255224024153349,L = 0
2031,Interactive,IFE,0,-0.00654765505646282,L = 0
2032,Interactive,IFE,0,-0.007892154661705453,L = 0
2033,Interactive,IFE,0,-0.009384842520579029,L = 0
2034,Interactive,IFE,0,-0.011030636562295304,L = 0
2035,Interactive,IFE,0,-0.012834286851531651,L = 0
2036,Interactive,IFE,0,-0.014970161641208346,L = 0
2037,Interactive,IFE,0,-0.017116651741841737,L = 0
2038,Interactive,IFE,0,-0.0194326050632061,L = 0
2039,Interactive,IFE,0,-0.02192180909828456,L = 0
2040,Interactive,IFE,0,-0.02458786069361718,L = 0
2041,Interactive,IFE,0,-0.027595357611512217,L = 0
2042,Interactive,IFE,0,-0.03061656911558641,L = 0
2043,Interactive,IFE,0,-0.03381938632770276,L = 0
2044,Interactive,IFE,0,-0.03720623299356329,L = 0
2045,Interactive,IFE,0,-0.04077932726288502,L = 0
2046,Interactive,IFE,0,-0.0445706319496707,L = 0
2047,Interactive,IFE,0,-0.04848415869489475,L = 0
2048,Interactive,IFE,0,-0.05258236256793436,L = 0
2049,Interactive,IFE,0,-0.05686627739746408,L = 0
2050,Interactive,IFE,0,-0.061336729137148494,L = 0
2051,Interactive,IFE,0,-0.06572119219549677,L = 0
2052,Interactive,IFE,0,-0.07047853622587275,L = 0
2053,Interactive,IFE,0,-0.07541321940356671,L = 0
2054,Interactive,IFE,0,-0.08052482377142456,L = 0
2055,Interactive,IFE,0,-0.08581273191842653,L = 0
2056,Interactive,IFE,0,-0.09058606931490731,L = 0
2057,Interactive,IFE,0,-0.09609088223096973,L = 0
2058,Interactive,IFE,0,-0.10175656063994187,L = 0
2059,Interactive,IFE,0,-0.10758129012170858,L = 0
2060,Interactive,IFE,0,-0.11356307811608235,L = 0
2061,Interactive,IFE,0,-0.11848272462335252,L = 0
2062,Interactive,IFE,0,-0.12459029335925076,L = 0
2063,Interactive,IFE,0,-0.1308342004374896,L = 0
2064,Interactive,IFE,0,-0.1372114611592372,L = 0
2065,Interactive,IFE,0,-0.14371895174593874,L = 0
2066,Interactive,IFE,0,-0.1486945753657849,L = 0
2067,Interactive,IFE,0,-0.15526894380479206,L = 0
2068,Interactive,IFE,0,-0.16195205996966078,L = 0
2069,Interactive,IFE,0,-0.16874013597789594,L = 0
2070,Interactive,IFE,0,-0.17562929156667995,L = 0
2071,Interactive,IFE,0,-0.18047488599811734,L = 0
2072,Interactive,IFE,0,-0.187380504822946,L = 0
2073,Interactive,IFE,0,-0.19436675629877154,L = 0
2074,Interactive,IFE,0,-0.20142942670598907,L = 0
2075,Interactive,IFE,0,-0.20856425736102857,L = 0
2076,Interactive,IFE,0,-0.2130811516156843,L = 0
2077,Interactive,IFE,0,-0.22019119491189965,L = 0
2078,Interactive,IFE,0,-0.22735501321235496,L = 0
2079,Interactive,IFE,0,-0.23456827726926832,L = 0
2080,Interactive,IFE,0,-0.2418266551099686,L = 0
2081,Interactive,IFE,0,-0.24584721637719076,L = 0
2082,Interactive,IFE,0,-0.25302114839433953,L = 0
2083,Interactive,IFE,0,-0.26022302897097005,L = 0
2084,Interactive,IFE,0,-0.26744865053654343,L = 0
2085,Interactive,IFE,0,-0.27469383785999657,L = 0
2086,Interactive,IFE,0,-0.2782126962673296,L = 0
2087,Interactive,IFE,0,-0.28533545588179343,L = 0
2088,Interactive,IFE,0,-0.29246293119496614,L = 0
2089,Interactive,IFE,0,-0.2995912161888482,L = 0
2090,Interactive,IFE,0,-0.3067164631411464,L = 0
2091,Interactive,IFE,0,-0.30965319928504453,L = 0
2092,Interactive,IFE,0,-0.3166279732448817,L = 0
2093,Interactive,IFE,0,-0.32358739025972727,L = 0
2094,Interactive,IFE,0,-0.33052796926172456,L = 0
2095,Interactive,IFE,0,-0.3374463048526324,L = 0
2096,Interactive,IFE,0,-0.3396762523426251,L = 0
2097,Interactive,IFE,0,-0.3463845977216512,L = 0
2098,Interactive,IFE,0,-0.35306008751812,L = 0
2099,Interactive,IFE,0,-0.35969977509878404,L = 0
2100,Interactive,IFE,0,-0.36630079875769384,L = 0
2021,Interactive,IFE,1,-1.469976883595736e-4,L = 1
2022,Interactive,IFE,1,-4.4701310053707477e-4,L = 1
2023,Interactive,IFE,1,-9.044512020423001e-4,L = 1
2024,Interactive,IFE,1,-0.001523636446462917,L = 1
2025,Interactive,IFE,1,-0.002308802698992918,L = 1
2026,Interactive,IFE,1,-0.0033028288075861445,L = 1
2027,Interactive,IFE,1,-0.004445551441571771,L = 1
2028,Interactive,IFE,1,-0.005768454227439546,L = 1
2029,Interactive,IFE,1,-0.007275358729713188,L = 1
2030,Interactive,IFE,1,-0.008969932668185798,L = 1
2031,Interactive,IFE,1,-0.010931735485519067,L = 1
2032,Interactive,IFE,1,-0.013025219742638261,L = 1
2033,Interactive,IFE,1,-0.01531664340780381,L = 1
2034,Interactive,IFE,1,-0.017808865102276195,L = 1
2035,Interactive,IFE,1,-0.020504549697199503,L = 1
2036,Interactive,IFE,1,-0.023515530207097957,L = 1
2037,Interactive,IFE,1,-0.026635310893356245,L = 1
2038,Interactive,IFE,1,-0.029963756573975653,L = 1
2039,Interactive,IFE,1,-0.03350247012864038,L = 1
2040,Interactive,IFE,1,-0.0372528339005338,L = 1
2041,Interactive,IFE,1,-0.041304442455458834,L = 1
2042,Interactive,IFE,1,-0.04547813700500736,L = 1
2043,Interactive,IFE,1,-0.04986320271220823,L = 1
2044,Interactive,IFE,1,-0.05445988133880719,L = 1
2045,Interactive,IFE,1,-0.059268183588952916,L = 1
2046,Interactive,IFE,1,-0.06426638896631298,L = 1
2047,Interactive,IFE,1,-0.06947466956055803,L = 1
2048,Interactive,IFE,1,-0.074888946546675,L = 1
2049,Interactive,IFE,1,-0.08050812742488977,L = 1
2050,Interactive,IFE,1,-0.08633089490746793,L = 1
2051,Interactive,IFE,1,-0.09210967184542118,L = 1
2052,Interactive,IFE,1,-0.09828032880860038,L = 1
2053,Interactive,IFE,1,-0.10464325769122906,L = 1
2054,Interactive,IFE,1,-0.11119608543672832,L = 1
2055,Interactive,IFE,1,-0.1179362336568982,L = 1
2056,Interactive,IFE,1,-0.12432022606737336,L = 1
2057,Interactive,IFE,1,-0.13134287243888054,L = 1
2058,Interactive,IFE,1,-0.13853689849004458,L = 1
2059,Interactive,IFE,1,-0.14589877427709397,L = 1
2060,Interactive,IFE,1,-0.15342479534813214,L = 1
2061,Interactive,IFE,1,-0.16020549677741502,L = 1
2062,Interactive,IFE,1,-0.16793288721649713,L = 1
2063,Interactive,IFE,1,-0.1758045492271466,L = 1
2064,Interactive,IFE,1,-0.18381602857468216,L = 1
2065,Interactive,IFE,1,-0.19196274094982602,L = 1
2066,Interactive,IFE,1,-0.19903870426129688,L = 1
2067,Interactive,IFE,1,-0.20732788239083932,L = 1
2068,Interactive,IFE,1,-0.21573160692074012,L = 1
2069,Interactive,IFE,1,-0.22424481739218216,L = 1
2070,Interactive,IFE,1,-0.2328623730522983,L = 1
2071,Interactive,IFE,1,-0.24006692490094483,L = 1
2072,Interactive,IFE,1,-0.2487716021130557,L = 1
2073,Interactive,IFE,1,-0.2575603939624256,L = 1
2074,Interactive,IFE,1,-0.26642795523394414,L = 1
2075,Interactive,IFE,1,-0.2753689097532944,L = 1
2076,Interactive,IFE,1,-0.2825369589889387,L = 1
2077,Interactive,IFE,1,-0.2915179429834448,L = 1
2078,Interactive,IFE,1,-0.30055358129877396,L = 1
2079,Interactive,IFE,1,-0.3096385117637187,L = 1
2080,Interactive,IFE,1,-0.31876738488395207,L = 1
2081,Interactive,IFE,1,-0.32574831300325935,L = 1
2082,Interactive,IFE,1,-0.3348573700440859,L = 1
2083,Interactive,IFE,1,-0.3439928440201485,L = 1
2084,Interactive,IFE,1,-0.35314958995720047,L = 1
2085,Interactive,IFE,1,-0.3623225124289463,L = 1
2086,Interactive,IFE,1,-0.3690765143793868,L = 1
2087,Interactive,IFE,1,-0.37818296938138085,L = 1
2088,Interactive,IFE,1,-0.38729002343506236,L = 1
2089,Interactive,IFE,1,-0.3963929287638258,L = 1
2090,Interactive,IFE,1,-0.4054870154492023,L = 1
2091,Interactive,IFE,1,-0.41195411538879956,L = 1
2092,Interactive,IFE,1,-0.4209484432336822,L = 1
2093,Interactive,IFE,1,-0.4299207237131184,L = 1
2094,Interactive,IFE,1,-0.43886672549509853,L = 1
2095,Interactive,IFE,1,-0.4477823144902593,L = 1
2096,Interactive,IFE,1,-0.45385138177983375,L = 1
2097,Interactive,IFE,1,-0.4626199605140119,L = 1
2098,Interactive,IFE,1,-0.4713470632213478,L = 1
2099,Interactive,IFE,1,-0.4800290727233387,L = 1
2100,Interactive,IFE,1,-0.4886624798402913,L = 1
2021,Interactive,IFE,2,-9.567761467776936e-5,L = 2
2022,Interactive,IFE,2,-2.054133062182606e-4,L = 2
2023,Interactive,IFE,2,-4.644420481114686e-4,L = 2
2024,Interactive,IFE,2,-8.776553554711297e-4,L = 2
2025,Interactive,IFE,2,-0.0014498890808323228,L = 2
2026,Interactive,IFE,2,-0.0022320903161142658,L = 2
2027,Interactive,IFE,2,-0.0031512187458914154,L = 2
2028,Interactive,IFE,2,-0.004245255273875981,L = 2
2029,Interactive,IFE,2,-0.00551859504508434,L = 2
2030,Interactive,IFE,2,-0.006975498234231714,L = 2
2031,Interactive,IFE,2,-0.008708800465645372,L = 2
2032,Interactive,IFE,2,-0.010557535771625881,L = 2
2033,Interactive,IFE,2,-0.012601148920269423,L = 2
2034,Interactive,IFE,2,-0.014843000840486398,L = 2
2035,Interactive,IFE,2,-0.017286265993219585,L = 2
2036,Interactive,IFE,2,-0.020059071273010876,L = 2
2037,Interactive,IFE,2,-0.022921605376972742,L = 2
2038,Interactive,IFE,2,-0.025991517404883036,L = 2
2039,Interactive,IFE,2,-0.02927084802345703,L = 2
2040,Interactive,IFE,2,-0.032761419338778075,L = 2
2041,Interactive,IFE,2,-0.036564040947105636,L = 2
2042,Interactive,IFE,2,-0.04047437046044777,L = 2
2043,Interactive,IFE,2,-0.044596192420223835,L = 2
2044,Interactive,IFE,2,-0.04893013176363137,L = 2
2045,Interactive,IFE,2,-0.05347658194803806,L = 2
2046,Interactive,IFE,2,-0.058208951522932484,L = 2
2047,Interactive,IFE,2,-0.06314972210994729,L = 2
2048,Interactive,IFE,2,-0.06829737272277425,L = 2
2049,Interactive,IFE,2,-0.07365113229290676,L = 2
2050,Interactive,IFE,2,-0.07921000386192123,L = 2
2051,Interactive,IFE,2,-0.08469830197709083,L = 2
2052,Interactive,IFE,2,-0.09059561218687806,L = 2
2053,Interactive,IFE,2,-0.09668618210669189,L = 2
2054,Interactive,IFE,2,-0.10296789059622524,L = 2
2055,Interactive,IFE,2,-0.10943840955452211,L = 2
2056,Interactive,IFE,2,-0.11550081925609668,L = 2
2057,Interactive,IFE,2,-0.1222417133701551,L = 2
2058,Interactive,IFE,2,-0.12915471073803475,L = 2
2059,Interactive,IFE,2,-0.13623646614238138,L = 2
2060,Interactive,IFE,2,-0.1434834572321836,L = 2
2061,Interactive,IFE,2,-0.14990582158167232,L = 2
2062,Interactive,IFE,2,-0.15734143692254954,L = 2
2063,Interactive,IFE,2,-0.16492172625898893,L = 2
2064,Interactive,IFE,2,-0.17264236501977837,L = 2
2065,Interactive,IFE,2,-0.18049889476062775,L = 2
2066,Interactive,IFE,2,-0.1871910794627748,L = 2
2067,Interactive,IFE,2,-0.19518077951012025,L = 2
2068,Interactive,IFE,2,-0.20328537291181736,L = 2
2069,Interactive,IFE,2,-0.2114998907363166,L = 2
2070,Interactive,IFE,2,-0.2198192787443114,L = 2
2071,Interactive,IFE,2,-0.22662186654458305,L = 2
2072,Interactive,IFE,2,-0.23502192880565786,L = 2
2073,Interactive,IFE,2,-0.24350656712394192,L = 2
2074,Interactive,IFE,2,-0.2520705007380113,L = 2
2075,Interactive,IFE,2,-0.2607084118866674,L = 2
2076,Interactive,IFE,2,-0.26746234498019483,L = 2
2077,Interactive,IFE,2,-0.27613489455840035,L = 2
2078,Interactive,IFE,2,-0.284862570489409,L = 2
2079,Interactive,IFE,2,-0.2936400393509213,L = 2
2080,Interactive,IFE,2,-0.30246197306788913,L = 2
2081,Interactive,IFE,2,-0.309018238284152,L = 2
2082,Interactive,IFE,2,-0.3178131556838394,L = 2
2083,Interactive,IFE,2,-0.32663474957008143,L = 2
2084,Interactive,IFE,2,-0.335477863500245,L = 2
2085,Interactive,IFE,2,-0.34433738180686424,L = 2
2086,Interactive,IFE,2,-0.3506678225147656,L = 2
2087,Interactive,IFE,2,-0.3594566474672293,L = 2
2088,Interactive,IFE,2,-0.36824607344104665,L = 2
2089,Interactive,IFE,2,-0.377031289231069,L = 2
2090,Interactive,IFE,2,-0.385807550482389,L = 2
2091,Interactive,IFE,2,-0.39184463832098526,L = 2
2092,Interactive,IFE,2,-0.4005202092071072,L = 2
2093,Interactive,IFE,2,-0.4091734077101029,L = 2
2094,Interactive,IFE,2,-0.4177998769513469,L = 2
2095,Interactive,IFE,2,-0.4263953435612702,L = 2
2096,Interactive,IFE,2,-0.4320099679187779,L = 2
2097,Interactive,IFE,2,-0.4404543893807623,L = 2
2098,Interactive,IFE,2,-0.4488562589513706,L = 2
2099,Interactive,IFE,2,-0.45721175822429116,L = 2
