ISO_C3,ISO_N3,cntry.name,region,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS
CUB,192,Cuba,_LAC,0,0,1,0,0,0
CYP,196,Cyprus,_EECA,0,0,0,0,1,0
CZE,203,Czechia,_EECA,0,0,0,0,1,0
BEN,204,Benin,_SSAF,0,1,0,0,0,0
DNK,208,Denmark,_WEOFF,0,0,0,1,0,0
DOM,214,Dominican Republic,_LAC,0,0,1,0,0,0
ECU,218,Ecuador,_LAC,0,0,1,0,0,0
SLV,222,El Salvador,_LAC,0,0,1,0,0,0
GNQ,226,Equatorial Guinea,_SSAF,0,1,0,0,0,0
ETH,231,Ethiopia,_SSAF,0,1,0,0,0,0
ERI,232,Eritrea,_SSAF,0,1,0,0,0,0
EST,233,Estonia,_EECA,0,0,0,0,1,0
FRO,234,Faroe Islands,NA,NA,NA,NA,NA,NA,NA
FJI,242,Fiji,_SEAS,0,0,0,0,0,1
FIN,246,Finland,_WEOFF,0,0,0,1,0,0
FRA,250,France,_WEOFF,0,0,0,1,0,0
PYF,258,French Polynesia,NA,NA,NA,NA,NA,NA,NA
DJI,262,Djibouti,_MENA,1,0,0,0,0,0
GAB,266,Gabon,_SSAF,0,1,0,0,0,0
GEO,268,Georgia,_EECA,0,0,0,0,1,0
GMB,270,Gambia,_SSAF,0,1,0,0,0,0
PSE,275,Palestinian Territories,NA,NA,NA,NA,NA,NA,NA
DEU,276,Germany,_WEOFF,0,0,0,1,0,0
GHA,288,Ghana,_SSAF,0,1,0,0,0,0
KIR,296,Kiribati,NA,NA,NA,NA,NA,NA,NA
GRC,300,Greece,_WEOFF,0,0,0,1,0,0
GRL,304,Greenland,NA,NA,NA,NA,NA,NA,NA
GTM,320,Guatemala,_LAC,0,0,1,0,0,0
GIN,324,Guinea,_SSAF,0,1,0,0,0,0
GUY,328,Guyana,_LAC,0,0,1,0,0,0
HTI,332,Haiti,_LAC,0,0,1,0,0,0
HND,340,Honduras,_LAC,0,0,1,0,0,0
HUN,348,Hungary,_EECA,0,0,0,0,1,0
ISL,352,Iceland,_WEOFF,0,0,0,1,0,0
IND,356,India,_SEAS,0,0,0,0,0,1
IDN,360,Indonesia,_SEAS,0,0,0,0,0,1
IRN,364,Iran,_MENA,1,0,0,0,0,0
IRQ,368,Iraq,_MENA,1,0,0,0,0,0
IRL,372,Ireland,_WEOFF,0,0,0,1,0,0
ISR,376,Israel,_MENA,1,0,0,0,0,0
ITA,380,Italy,_WEOFF,0,0,0,1,0,0
CIV,384,Côte d’Ivoire,_SSAF,0,1,0,0,0,0
JAM,388,Jamaica,_LAC,0,0,1,0,0,0
JPN,392,Japan,_SEAS,0,0,0,0,0,1
KAZ,398,Kazakhstan,_EECA,0,0,0,0,1,0
JOR,400,Jordan,_MENA,1,0,0,0,0,0
KEN,404,Kenya,_SSAF,0,1,0,0,0,0
PRK,408,North Korea,_SEAS,0,0,0,0,0,1
KOR,410,South Korea,_SEAS,0,0,0,0,0,1
KWT,414,Kuwait,_MENA,1,0,0,0,0,0
KGZ,417,Kyrgyzstan,_EECA,0,0,0,0,1,0
LAO,418,Laos,_SEAS,0,0,0,0,0,1
LBN,422,Lebanon,_MENA,1,0,0,0,0,0
LSO,426,Lesotho,_SSAF,0,1,0,0,0,0
LVA,428,Latvia,_EECA,0,0,0,0,1,0
LBR,430,Liberia,_SSAF,0,1,0,0,0,0
LBY,434,Libya,_MENA,1,0,0,0,0,0
LTU,440,Lithuania,_EECA,0,0,0,0,1,0
LUX,442,Luxembourg,_WEOFF,0,0,0,1,0,0
MDG,450,Madagascar,_SSAF,0,1,0,0,0,0
MWI,454,Malawi,_SSAF,0,1,0,0,0,0
MYS,458,Malaysia,_SEAS,0,0,0,0,0,1
MLI,466,Mali,_SSAF,0,1,0,0,0,0
MRT,478,Mauritania,_SSAF,0,1,0,0,0,0
MUS,480,Mauritius,_SSAF,0,1,0,0,0,0
MEX,484,Mexico,_LAC,0,0,1,0,0,0
MNG,496,Mongolia,_SEAS,0,0,0,0,0,1
MDA,498,Moldova,_EECA,0,0,0,0,1,0
MNE,499,Montenegro,NA,NA,NA,NA,NA,NA,NA
MAR,504,Morocco,_MENA,1,0,0,0,0,0
MOZ,508,Mozambique,_SSAF,0,1,0,0,0,0
OMN,512,Oman,_MENA,1,0,0,0,0,0
NAM,516,Namibia,_SSAF,0,1,0,0,0,0
NPL,524,Nepal,_SEAS,0,0,0,0,0,1
NLD,528,Netherlands,_WEOFF,0,0,0,1,0,0
NCL,540,New Caledonia,NA,NA,NA,NA,NA,NA,NA
VUT,548,Vanuatu,_SEAS,0,0,0,0,0,1
NZL,554,New Zealand,_WEOFF,0,0,0,1,0,0
NIC,558,Nicaragua,_LAC,0,0,1,0,0,0
NER,562,Niger,_SSAF,0,1,0,0,0,0
NGA,566,Nigeria,_SSAF,0,1,0,0,0,0
NOR,578,Norway,_WEOFF,0,0,0,1,0,0
PAK,586,Pakistan,_SEAS,0,0,0,0,0,1
PAN,591,Panama,_LAC,0,0,1,0,0,0
PNG,598,Papua New Guinea,_SEAS,0,0,0,0,0,1
PRY,600,Paraguay,_LAC,0,0,1,0,0,0
PER,604,Peru,_LAC,0,0,1,0,0,0
PHL,608,Philippines,_SEAS,0,0,0,0,0,1
POL,616,Poland,_EECA,0,0,0,0,1,0
PRT,620,Portugal,_WEOFF,0,0,0,1,0,0
GNB,624,Guinea-Bissau,_SSAF,0,1,0,0,0,0
TLS,626,Timor-Leste,NA,NA,NA,NA,NA,NA,NA
PRI,630,Puerto Rico,NA,NA,NA,NA,NA,NA,NA
QAT,634,Qatar,_MENA,1,0,0,0,0,0
ROU,642,Romania,_EECA,0,0,0,0,1,0
RUS,643,Russia,_EECA,0,0,0,0,1,0
RWA,646,Rwanda,_SSAF,0,1,0,0,0,0
VCT,670,St. Vincent & Grenadines,_LAC,0,0,1,0,0,0
SAU,682,Saudi Arabia,_MENA,1,0,0,0,0,0
SEN,686,Senegal,_SSAF,0,1,0,0,0,0
SRB,688,Serbia,NA,NA,NA,NA,NA,NA,NA
SLE,694,Sierra Leone,_SSAF,0,1,0,0,0,0
SVK,703,Slovakia,_EECA,0,0,0,0,1,0
VNM,704,Vietnam,_SEAS,0,0,0,0,0,1
SVN,705,Slovenia,_EECA,0,0,0,0,1,0
SOM,706,Somalia,_SSAF,0,1,0,0,0,0
ZAF,710,South Africa,_SSAF,0,1,0,0,0,0
ZWE,716,Zimbabwe,_SSAF,0,1,0,0,0,0
ESP,724,Spain,_WEOFF,0,0,0,1,0,0
SSD,728,South Sudan,NA,NA,NA,NA,NA,NA,NA
SDN,729,Sudan,_SSAF,0,1,0,0,0,0
SUR,740,Suriname,_LAC,0,0,1,0,0,0
SWZ,748,Eswatini,_SSAF,0,1,0,0,0,0
SWE,752,Sweden,_WEOFF,0,0,0,1,0,0
CHE,756,Switzerland,_WEOFF,0,0,0,1,0,0
SYR,760,Syria,_MENA,1,0,0,0,0,0
TJK,762,Tajikistan,_EECA,0,0,0,0,1,0
THA,764,Thailand,_SEAS,0,0,0,0,0,1
TGO,768,Togo,_SSAF,0,1,0,0,0,0
TTO,780,Trinidad & Tobago,_LAC,0,0,1,0,0,0
ARE,784,United Arab Emirates,_MENA,1,0,0,0,0,0
TUN,788,Tunisia,_MENA,1,0,0,0,0,0
TUR,792,Turkey,_MENA,1,0,0,0,0,0
TKM,795,Turkmenistan,_EECA,0,0,0,0,1,0
UGA,800,Uganda,_SSAF,0,1,0,0,0,0
UKR,804,Ukraine,_EECA,0,0,0,0,1,0
MKD,807,North Macedonia,_EECA,0,0,0,0,1,0
EGY,818,Egypt,_MENA,1,0,0,0,0,0
GBR,826,United Kingdom,_WEOFF,0,0,0,1,0,0
TZA,834,Tanzania,_SSAF,0,1,0,0,0,0
USA,840,United States,_WEOFF,0,0,0,1,0,0
VIR,850,U.S. Virgin Islands,NA,NA,NA,NA,NA,NA,NA
BFA,854,Burkina Faso,_SSAF,0,1,0,0,0,0
URY,858,Uruguay,_LAC,0,0,1,0,0,0
UZB,860,Uzbekistan,_EECA,0,0,0,0,1,0
VEN,862,Venezuela,_LAC,0,0,1,0,0,0
WSM,882,Samoa,_SEAS,0,0,0,0,0,1
YEM,887,Yemen,_MENA,1,0,0,0,0,0
ZMB,894,Zambia,_SSAF,0,1,0,0,0,0
